1,77,2
1,127,3
2,151,5
3,143,4
4,44,2
4,53,4
4,136,3
4,139,4
4,141,2
4,161,4
4,162,3
4,164,4
5,33,4
5,105,4
5,127,4
6,157,4
7,66,5
8,27,4
9,57,2
10,5,4
10,15,3
10,47,5
10,59,5
10,62,5
10,68,4
10,114,2
10,142,3
10,156,4
10,161,4
10,173,5
11,20,2
11,44,5
11,53,4
11,134,1
11,144,3
11,165,4
11,174,4
12,24,3
12,27,3
13,143,5
13,147,5
14,5,5
14,54,2
15,169,5
16,58,5
16,92,5
16,127,4
16,143,4
17,109,4
18,1,4
18,143,5
19,96,4
20,127,5
21,39,2
21,44,4
21,57,5
21,143,5
21,164,3
22,24,5
22,108,2
22,117,4
23,57,5
24,6,3
24,58,2
25,73,4
26,76,4
27,120,3
28,76,3
29,33,3
30,143,5
31,127,5
32,20,4
33,34,5
34,20,2
34,57,3
34,76,5
35,174,4
36,20,5
36,57,4
36,91,3
36,157,4
36,170,2
37,109,4
37,127,4
37,153,4
37,161,5
38,121,4
38,179,5
39,140,1
40,27,3
40,127,5
40,143,5
41,44,4
41,74,4
41,104,3
41,116,3
42,16,4
42,20,5
42,93,3
43,66,5
44,33,3
44,127,4
45,43,5
46,127,4
46,149,4
47,105,5
48,115,4
49,55,5
50,161,4
51,133,5
52,32,4
52,44,2
53,24,4
53,27,5
53,177,5
54,20,3
55,154,3
56,66,2
57,143,4
57,172,3
58,127,5
59,127,4
60,81,1
60,110,4
60,119,4
60,149,4
61,14,5
61,17,2
61,20,3
61,138,5
62,4,1
62,127,4
63,105,5
64,105,5
65,43,3
65,74,4
65,143,4
65,172,3
66,126,4
67,35,5
67,165,2
68,20,4
68,27,5
68,76,2
68,100,4
69,143,5
70,20,4
71,17,2
71,73,5
72,82,5
72,174,3
73,20,4
74,49,4
74,115,4
75,122,4
76,27,4
77,172,5
78,5,5
78,97,5
78,143,4
79,122,5
79,143,5
79,172,4
80,179,5
81,44,3
82,109,4
83,2,5
83,20,1
83,42,3
83,46,5
83,51,4
83,130,4
83,143,5
83,157,4
83,158,3
84,51,3
85,140,1
86,51,4
87,44,4
87,49,4
87,63,4
87,73,5
87,127,4
87,143,2
87,172,3
88,6,4
88,7,5
88,178,5
89,143,4
90,67,4
90,117,5
91,98,4
91,122,5
91,134,3
92,33,4
92,44,3
92,75,3
93,33,3
93,149,4
94,44,3
95,66,4
96,133,5
97,25,4
97,33,4
97,45,3
98,127,4
99,171,3
100,20,4
100,27,4
101,127,2
102,27,5
103,115,2
104,17,3
104,91,3
104,128,2
104,151,3
105,27,5
106,48,2
107,7,5
107,14,4
108,143,5
109,117,4
110,33,4
110,175,4
111,43,4
112,43,2
113,51,4
114,20,2
114,54,1
115,127,4
116,98,3
117,143,4
117,172,3
118,180,5
119,149,1
120,110,5
121,27,5
121,119,5
122,20,3
123,5,4
123,44,1
123,125,2
124,20,3
124,115,4
124,122,4
125,122,5
126,51,3
126,127,3
127,20,3
128,33,5
128,138,3
129,6,3
130,57,2
130,138,1
131,168,5
132,104,3
133,15,4
133,27,4
133,63,2
133,127,4
133,137,5
134,94,2
134,149,3
134,177,4
135,48,4
136,122,4
136,127,5
137,96,4
138,23,5
138,143,4
139,122,4
140,24,4
140,35,4
141,14,5
141,20,5
142,107,2
143,127,4
144,66,2
145,25,4
145,83,4
145,122,5
146,33,4
147,63,3
148,27,3
148,106,4
148,127,4
148,131,4
149,1,4
150,174,4
151,143,4
152,105,4
153,66,4
154,124,5
155,109,4
155,127,3
156,72,5
157,27,4
157,127,4
158,122,4
158,123,3
158,128,3
158,143,4
159,33,3
160,5,5
161,14,5
162,127,2
163,10,4
163,27,5
163,127,5
164,27,3
165,154,2
166,170,1
167,109,4
168,20,5
168,76,4
169,20,4
169,123,4
169,167,4
169,174,5
170,76,3
171,20,4
171,27,4
171,119,5
171,133,5
172,104,4
173,27,4
173,123,4
173,138,4
173,149,4
174,125,5
175,66,3
176,51,3
177,3,1
178,127,3
179,33,4
180,31,4
181,108,4
182,92,5
182,167,3
183,19,5
183,122,5
184,21,4
184,78,5
185,27,5
186,122,4
187,15,5
187,179,5
188,127,3
189,151,4
190,20,4
191,44,2
191,98,5
192,2,4
192,119,5
193,21,4
193,36,3
193,91,5
194,67,5
195,127,3
196,96,5
196,104,3
196,122,5
196,145,4
196,157,4
197,159,3
198,128,5
199,138,3
200,33,5
200,143,5
200,172,5
201,82,4
202,115,5
203,122,3
204,36,4
204,58,4
204,61,2
204,76,3
204,115,3
204,117,4
204,127,4
204,138,3
204,151,4
204,174,3
205,76,4
205,109,3
206,135,4
207,20,4
208,105,5
209,44,3
210,1,4
210,5,2
210,11,5
210,25,4
210,44,3
210,47,5
210,103,4
210,107,5
210,142,2
210,152,2
210,170,2
210,173,3
211,27,4
212,1,5
212,40,5
212,51,4
212,103,4
212,117,5
212,162,3
212,170,5
213,76,3
214,127,2
214,163,4
214,172,3
215,43,5
215,109,4
216,43,5
216,45,2
216,91,3
217,143,4
218,47,5
218,54,4
218,106,5
218,161,4
219,5,5
220,20,4
220,24,4
220,77,4
220,117,4
221,47,5
221,122,4
222,100,4
223,38,3
223,139,4
223,148,4
223,162,4
224,55,5
225,102,3
226,53,4
226,125,4
226,174,4
227,73,2
228,122,4
229,60,4
230,20,4
230,174,4
230,179,4
231,27,5
231,44,2
231,101,4
231,127,4
231,162,5
231,174,5
232,76,4
232,172,4
232,174,5
233,105,4
233,127,4
233,175,4
234,88,4
235,122,5
236,20,2
236,58,4
236,76,4
236,122,5
236,127,4
236,165,3
237,122,3
238,131,4
239,24,3
239,112,3
240,6,2
240,7,5
240,110,5
240,125,4
240,162,3
241,127,4
241,146,3
242,98,4
243,157,5
244,20,2
244,24,3
244,119,4
244,135,3
245,115,3
246,51,4
247,27,3
247,143,4
248,127,5
249,3,4
249,23,4
249,27,5
249,35,4
249,57,4
249,90,5
249,126,5
249,143,5
249,172,4
250,25,5
250,117,5
250,122,5
251,122,5
251,127,4
251,129,2
252,127,4
253,143,5
254,122,4
255,151,4
256,27,5
256,47,5
256,87,5
257,55,1
258,57,4
259,98,4
260,40,4
260,44,3
260,106,3
260,161,4
260,164,3
260,167,3
260,174,3
261,105,5
262,43,3
262,50,5
262,63,2
263,122,5
264,2,5
264,24,4
264,39,3
264,127,4
265,127,4
266,143,5
267,51,3
267,127,2
268,122,5
269,83,4
269,105,4
270,7,5
271,27,5
271,112,4
272,122,5
272,158,4
272,174,5
273,22,4
273,38,3
273,44,3
273,49,3
273,66,4
273,109,4
273,161,4
274,3,2
275,122,2
276,55,5
277,20,5
277,22,4
277,76,4
278,95,4
279,76,4
280,2,3
281,18,3
282,46,2
282,92,5
282,118,5
283,135,4
284,137,4
285,49,3
285,63,3
285,150,3
286,33,4
286,57,5
287,32,4
288,1,4
288,5,4
288,14,5
288,27,5
288,30,4
288,35,4
288,43,4
288,44,3
288,53,4
288,70,3
288,96,4
288,101,2
288,105,4
288,119,5
288,122,5
288,143,4
288,154,3
288,170,3
289,100,4
290,35,3
290,112,5
290,165,2
291,57,5
291,83,4
292,7,5
293,93,4
294,122,4
294,138,2
295,143,4
296,100,5
297,61,1
298,27,3
299,82,3
300,115,4
301,172,4
302,58,3
303,33,5
303,172,4
304,63,3
305,127,4
306,76,4
307,27,4
307,77,3
307,83,4
307,119,4
307,125,3
307,127,3
307,128,4
307,131,4
308,108,4
308,119,3
308,161,5
309,127,4
310,105,5
311,108,4
312,122,4
313,43,3
314,105,5
314,133,2
315,127,4
316,66,2
317,43,3
317,76,4
317,167,1
318,122,3
319,51,3
320,55,4
321,166,5
322,172,3
323,40,4
324,51,5
325,176,4
326,27,5
327,61,1
328,18,4
328,33,4
329,122,5
330,27,5
330,98,5
330,122,4
330,134,1
330,174,4
331,122,4
332,44,3
332,77,4
332,125,5
332,152,4
332,173,3
332,179,4
333,127,4
334,127,4
335,65,4
336,27,2
336,170,4
337,119,3
338,5,5
339,22,4
339,51,4
340,20,4
340,76,3
341,25,2
341,91,4
341,117,4
342,20,3
342,24,3
342,33,3
342,55,4
342,115,3
342,122,5
342,133,5
343,143,5
344,27,5
344,33,4
344,44,4
344,119,5
345,51,2
346,14,4
346,20,4
346,33,4
346,109,3
346,112,4
346,138,4
346,149,3
346,151,4
347,48,4
347,51,5
347,127,4
348,122,4
349,14,5
349,16,3
349,78,4
349,81,3
349,88,3
349,98,4
349,119,4
349,151,4
350,33,4
351,36,3
352,115,5
353,127,4
354,106,5
355,20,4
356,2,3
356,27,5
356,141,3
357,27,5
357,48,2
357,81,4
358,57,4
358,143,3
359,105,4
360,27,5
360,38,4
361,149,4
361,154,3
362,40,4
362,76,5
362,105,4
362,122,4
362,127,3
362,135,3
363,122,3
364,73,4
365,47,4
365,174,4
366,5,5
366,91,5
367,73,4
367,86,4
367,91,5
367,149,3
368,172,4
369,20,4
369,94,3
369,111,2
370,20,3
370,55,4
370,139,3
371,51,4
372,122,4
373,33,4
374,76,5
374,100,4
374,127,5
374,136,4
374,137,4
374,138,2
374,143,4
374,170,4
375,7,5
376,1,5
376,154,2
377,63,4
377,127,3
378,163,2
379,143,4
380,122,4
381,55,5
382,27,4
383,167,4
384,36,3
384,44,3
384,51,4
384,122,4
384,157,4
385,7,5
385,125,4
386,2,5
386,5,4
